iter	RMSE
0	11.94266752
1	5.891107229
2	4.401745178
3	3.783810441
4	3.078880026
5	2.785608193
6	2.627027786
7	2.496208174
8	2.373145962
9	2.340453003
10	2.298806226
11	2.2664687
12	2.173235815
13	2.078283518
14	2.040375936
15	2.016209367
16	1.968868213
17	1.897220862
18	1.851971595
19	1.847972815
20	1.784852594
21	1.7446994
22	1.717071225
23	1.677547714
24	1.648163913
25	1.634601883
26	1.62700118
27	1.611723303
28	1.568035983
29	1.54410427
30	1.517348308
31	1.494000954
32	1.480137359
33	1.475963337
34	1.458598663
35	1.449125952
36	1.431187315
37	1.416579632
38	1.386075672
39	1.38080616
40	1.364918214
41	1.361047046
42	1.353001787
43	1.328846216
44	1.311632325
45	1.292553046
46	1.277306663
47	1.258441932
48	1.248245645
49	1.237727074
50	1.23561847
51	1.22216823
52	1.215621365
53	1.201214165
54	1.190066422
55	1.174091484
56	1.15648101
57	1.144031709
58	1.131508887
59	1.122708975
60	1.115960697
61	1.112689322
62	1.101545927
63	1.0893822
64	1.073614303
65	1.064231161
66	1.061836928
67	1.054600403
68	1.051094241
69	1.046121154
70	1.041469832
71	1.032958
72	1.031260559
73	1.022472703
74	1.015338297
75	1.004635438
76	0.9967156902
77	0.9865377083
78	0.9720201781
79	0.9615906223
80	0.9556696915
81	0.947816003
82	0.9417939512
83	0.931225503
84	0.9254884978
85	0.9129205842
86	0.9067452829
87	0.8910997296
88	0.8859674821
89	0.8848435756
90	0.8748281479
91	0.8679726399
92	0.8570190195
93	0.8532145356
94	0.8467086613
95	0.8370491296
96	0.8335909196
97	0.82879219
98	0.8221526626
99	0.8191296912
