iter	Passed	Remaining
0	4	397
1	7	371
2	11	360
3	14	351
4	18	345
5	23	366
6	27	363
7	30	355
8	34	348
9	39	358
10	43	350
11	46	342
12	50	335
13	53	330
14	57	325
15	60	319
16	64	313
17	68	310
18	72	309
19	76	306
20	81	305
21	85	301
22	88	296
23	91	291
24	95	286
25	99	282
26	102	277
27	105	272
28	109	267
29	112	262
30	116	259
31	120	257
32	125	255
33	130	252
34	134	250
35	138	246
36	142	242
37	147	240
38	151	236
39	154	231
40	157	227
41	161	222
42	166	221
43	171	218
44	176	215
45	180	212
46	185	209
47	189	204
48	192	200
49	195	195
50	199	191
51	203	187
52	206	183
53	209	178
54	214	175
55	219	172
56	223	168
57	227	165
58	232	161
59	236	157
60	240	153
61	243	149
62	246	144
63	250	140
64	253	136
65	257	132
66	260	128
67	265	124
68	269	121
69	274	117
70	278	113
71	283	110
72	286	105
73	290	101
74	293	97
75	297	93
76	300	89
77	304	85
78	307	81
79	312	78
80	316	74
81	321	70
82	325	66
83	330	62
84	333	58
85	337	54
86	340	50
87	343	46
88	347	42
89	353	39
90	357	35
91	362	31
92	373	28
93	377	24
94	381	20
95	385	16
96	389	12
97	392	8
98	396	4
99	399	0
